code,name
000000020,Абакан AG
000000016,Абакан CF
000000015,Барнаул
000000018,Богучаны
000000001,Братск
000000021,Иркутск AG 
000000003,Иркутск CF
000000024,Иркутск WG
000000012,Кемерово
000000025,Киренск
000000013,Красноярск AG
000000005,Красноярск CF
000000027,Красноярск WG
000000019,Лесосибирск
000000026,Магистральный
000000014,Назарово
000000008,Новокузнецк
000000010,Новосибирск CF
000000023,Новосибирск WG
000000006,Томск
000000007,Улан-Удэ
000000002,Усть-Илимск
000000017,Усть-Кут
000000028,Чита WG
000000022,Чита СF
OMSK,Омск